dataset_id,original,perturbed,delta
18,0.5244134355792737,0.5286736369163638,0.004260201337090153
31,0.4655142679336039,0.4671043435746039,0.0015900756409999994
23381,0.6701626500231406,0.674666460483097,0.004503810459956403
40978,0.09219110580791542,0.09398110824057095,0.0017900024326555214
45022,0.6625790625612448,0.6630522296436347,0.0004731670823899803
45039,0.5914439822669103,0.5977886216838221,0.006344639416911768
46906,0.029954707501140338,0.036013988790000374,0.006059281288860036
46918,0.4911318127832819,0.4904204692387724,-0.0007113435445094685
46924,0.5044596397215038,0.5142153812759749,0.00975574155447112
46927,0.45446047231901654,0.45496723440526593,0.0005067620862493905
46941,0.427552495339315,0.46072703151553895,0.03317453617622396
