family,model,seed,status,regret,bayes_logloss
scm_prior_control,tabpfn,0,ok,0.01715881393440777,0.6948758060425098
scm_prior_control,strong_classical,0,ok,0.0315353622946558,0.6948758060425098
scm_prior_control,tabpfn,1,ok,0.03074095653527302,0.7248560846179023
scm_prior_control,strong_classical,1,ok,0.08158306876809454,0.7248560846179023
scm_prior_control,tabpfn,2,ok,0.01995289523016335,0.7515291791944122
scm_prior_control,strong_classical,2,ok,0.09938200840005745,0.7515291791944122
scm_prior_control,tabpfn,3,ok,0.02034474635887724,0.7093529594433485
scm_prior_control,strong_classical,3,ok,0.06234173651403921,0.7093529594433485
scm_prior_control,tabpfn,4,ok,0.018608578966130853,0.7134223463511752
scm_prior_control,strong_classical,4,ok,0.0994403111788491,0.7134223463511752
scm_latent_confounded,tabpfn,0,ok,0.05493841620481646,0.8487486439928876
scm_latent_confounded,strong_classical,0,ok,0.10753301271579824,0.8487486439928876
scm_latent_confounded,tabpfn,1,ok,0.07414224569592515,0.8539078976165293
scm_latent_confounded,strong_classical,1,ok,0.1183560417224903,0.8539078976165293
scm_latent_confounded,tabpfn,2,ok,0.05250494344727231,0.8523904912513651
scm_latent_confounded,strong_classical,2,ok,0.09381426470770149,0.8523904912513651
scm_latent_confounded,tabpfn,3,ok,0.06616229458859225,0.8478812410831038
scm_latent_confounded,strong_classical,3,ok,0.0891025043923981,0.8478812410831038
scm_latent_confounded,tabpfn,4,ok,0.07587978925837763,0.821961818277458
scm_latent_confounded,strong_classical,4,ok,0.14913384992475426,0.821961818277458
