dataset_id,strong_classical,tabpfn,actual_gap,n_seeds,name
18,0.5843203156416384,0.5554715921773336,-0.028848723464304893,3,mfeat-morphological
22,0.5247788607712116,0.2723600901034202,-0.2524187706677914,3,mfeat-zernike
28,0.059600794611568995,0.045265467973854834,-0.014335326637714162,3,optdigits
44,0.15133058193184304,0.11045533930097802,-0.04087524263086502,2,spambase
50,9.933483601630395e-05,0.06364213197408447,0.06354279713806817,2,tic-tac-toe
151,0.3415333516987915,0.3156112282140887,-0.025922123484702797,1,electricity
182,0.26994191739652795,0.18116585403160806,-0.08877606336491989,2,satimage
469,1.9097040183160878,1.778131079536085,-0.13157293878000287,2,analcatdata_dmft
1053,0.43909685987003827,0.44077679971531725,0.001679939845278977,2,jm1
1067,0.33592686188400966,0.3243903188154148,-0.011536543068594862,2,kc1
1461,0.21968850012811836,0.20172331473464072,-0.017965185393477634,2,bank-marketing
1462,5.5715423926699406e-05,0.00028843273006796613,0.00023271730614126673,1,banknote-authentication
1468,0.18697673242734703,0.224516689160887,0.037539956733539964,1,cnae-9
1478,0.04051684983945479,0.02123291382451127,-0.01928393601494352,2,har
1486,0.14780710271928266,0.11887789296524139,-0.02892920975404127,2,nomao
1489,0.29716621972129165,0.21412266358746268,-0.08304355613382897,2,phoneme
1510,0.20580321923752182,0.12657521577539793,-0.07922800346212389,2,wdbc
4134,0.4807773386498919,0.48617836406603615,0.005401025416144234,2,Bioresponse
4534,0.10084106618013405,0.09161178028316565,-0.009229285896968406,1,PhishingWebsites
23381,0.6823127226984798,0.6666778807299171,-0.015634841968562685,2,dresses-sales
40670,0.1505432571344917,0.12758113340341976,-0.022962123731071954,2,dna
40978,0.10320979008400502,0.09141382550625529,-0.011795964577749729,2,Internet-Advertisements
40982,0.5411696817244825,0.45152545663331767,-0.08964422509116488,2,steel-plates-fault
40983,0.03623275269235432,0.03624870537774303,1.5952685388710697e-05,2,wilt
40996,0.4633470651893542,0.4214364062353266,-0.041910658954027624,2,Fashion-MNIST
44120,0.40283433596522644,0.37698242488626305,-0.025851911078963397,2,electricity
44121,0.5263110063256384,0.44013499998322236,-0.08617600634241607,2,covertype
44123,0.32005055097082924,0.2912172316747638,-0.02883331929606542,2,house_16H
44159,0.466337086663174,0.3288441491091145,-0.1374929375540595,2,covertype
45019,0.4983288640508619,0.46658519568774565,-0.03174366836311626,1,Bioresponse
45036,0.5567058244402676,0.5457944553018187,-0.010911369138448923,1,default-of-credit-card-clients
46906,0.06869580244757145,0.02209345628320055,-0.0466023461643709,2,anneal
46908,0.03456366429297171,0.023905511486184965,-0.010658152806786746,2,APSFailure
46910,0.3112695738650423,0.31064551464145707,-0.000624059223585216,2,bank-marketing
46912,0.5411017839820165,0.5622282897188581,0.021126505736841605,1,Bioresponse
46915,0.16890833608398875,0.13885949276754808,-0.03004884331644067,2,churn
46920,0.17329547463719938,0.13719335512850223,-0.036102119508697156,2,customer_satisfaction_in_airline
46921,0.5533617475884702,0.4619859427723596,-0.09137580481611063,2,diabetes
46927,0.48054409355430994,0.44282394127255975,-0.037720152281750186,2,Fitness_Club
46929,0.19366102486994924,0.18317127133238695,-0.01048975353756229,2,GiveMeSomeCredit
46932,0.5660140876549435,0.5638760692878005,-0.002138018367143002,1,heloc
46933,0.1998252908163075,0.18237508759511048,-0.01745020322119703,2,hiva_agnostic
46941,0.5253586589104238,0.421710039067898,-0.10364861984252577,2,maternal_health_risk
46947,0.24288963400225916,0.2364716376897615,-0.006417996312497648,2,online_shoppers_intention
46950,0.11467800888965035,0.08536314554295901,-0.02931486334669134,2,polish_companies_bankruptcy
46952,0.3524654153774566,0.2819490444125012,-0.07051637096495544,1,qsar-biodeg
46955,0.09207920357519023,0.08893417280942395,-0.003145030765766277,2,SDSS17
46958,0.15354656534496558,0.10864414572207148,-0.044902419622894096,2,splice
46962,0.08265197383915315,0.08490680622190946,0.002254832382756311,2,taiwanese_bankruptcy_prediction
46963,0.26786356529603883,0.23790916631234305,-0.029954398983695785,2,website_phishing
46964,0.979301145471775,0.7970922266587868,-0.18220891881298829,2,wine_quality
46979,0.4407620584198152,0.44348015362635274,0.0027180952065375408,2,jm1
46980,0.5559815176952119,0.5214873717951904,-0.03449414590002142,2,MIC
