dataset_id,strong_classical,tabpfn,actual_gap,n_seeds,name,sc_strong,gap_old,gap_new
18,0.5843203156416384,0.5554715921773336,-0.0288487234643048,3,mfeat-morphological,0.543786214558116,-0.028848723464304893,0.011685377619217507
22,0.5247788607712116,0.2723600901034202,-0.2524187706677914,3,mfeat-zernike,0.49526731241989486,-0.2524187706677914,-0.22290722231647464
28,0.0596007946115689,0.0452654679738548,-0.0143353266377141,3,optdigits,0.06671255637081037,-0.0143353266377141,-0.021447088396955576
44,0.151330581931843,0.110455339300978,-0.040875242630865,2,spambase,0.12072300954589503,-0.040875242630865005,-0.010267670244917024
50,9.933483601630396e-05,0.0636421319740844,0.0635427971380681,2,tic-tac-toe,5.886838682484472e-05,0.0635427971380681,0.06358326358725956
151,0.3415333516987915,0.3156112282140887,-0.0259221234847027,1,electricity,0.32844656950500056,-0.025922123484702797,-0.01283534129091185
182,0.2699419173965279,0.181165854031608,-0.0887760633649198,2,satimage,0.25035718008113583,-0.08877606336491989,-0.06919132604952782
469,1.909704018316088,1.778131079536085,-0.1315729387800028,2,analcatdata_dmft,1.7722156935535276,-0.1315729387800031,0.005915385982557364
1053,0.4390968598700382,0.4407767997153172,0.0016799398452789,2,jm1,0.4432579460772111,0.001679939845278977,-0.0024811463618938934
1067,0.3359268618840096,0.3243903188154148,-0.0115365430685948,2,kc1,0.3451129572641825,-0.011536543068594807,-0.020722638448767705
1461,0.2196885001281183,0.2017233147346407,-0.0179651853934776,2,bank-marketing,0.22088063350490159,-0.017965185393477606,-0.01915731877026089
1462,5.5715423926699406e-05,0.0002884327300679,0.0002327173061412,1,banknote-authentication,5.5715423926699406e-05,0.0002327173061412006,0.0002327173061412006
1468,0.186976732427347,0.224516689160887,0.0375399567335399,1,cnae-9,0.18697673242734703,0.03753995673353999,0.037539956733539964
1478,0.0405168498394547,0.0212329138245112,-0.0192839360149435,2,har,0.04054211230993133,-0.0192839360149435,-0.019309198485420127
1486,0.1478071027192826,0.1188778929652413,-0.0289292097540412,2,nomao,0.13991619148489748,-0.0289292097540413,-0.021038298519656176
1489,0.2971662197212916,0.2141226635874626,-0.0830435561338289,2,phoneme,0.259297363222696,-0.083043556133829,-0.04517469963523338
1510,0.2058032192375218,0.1265752157753979,-0.0792280034621238,2,wdbc,0.1605532144540167,-0.07922800346212389,-0.03397799867861881
4134,0.4807773386498919,0.4861783640660361,0.0054010254161442,2,Bioresponse,0.4560887375518167,0.005401025416144178,0.03008962651421937
4534,0.100841066180134,0.0916117802831656,-0.0092292858969684,1,PhishingWebsites,0.09516311851454388,-0.009229285896968392,-0.0035513382313782788
23381,0.6823127226984798,0.6666778807299171,-0.0156348419685626,2,dresses-sales,0.6915084099014971,-0.015634841968562685,-0.024830529171580018
40670,0.1505432571344917,0.1275811334034197,-0.0229621237310719,2,dna,0.13460047082570759,-0.02296212373107201,-0.007019337422287886
40978,0.103209790084005,0.0914138255062552,-0.0117959645777497,2,Internet-Advertisements,0.09784711930857841,-0.011795964577749798,-0.0064332938023232145
40982,0.5411696817244825,0.4515254566333176,-0.0896442250911648,2,steel-plates-fault,0.5036081510426256,-0.08964422509116493,-0.05208269440930796
40983,0.0362327526923543,0.036248705377743,1.5952685388710697e-05,2,wilt,0.04496906440268676,1.5952685388703758e-05,-0.00872035902494376
44120,0.4028343359652264,0.376982424886263,-0.0258519110789633,2,electricity,0.3873276857492418,-0.025851911078963397,-0.010345260862978822
44121,0.5263110063256384,0.4401349999832223,-0.086176006342416,2,covertype,0.5050264065512144,-0.08617600634241612,-0.06489140656799214
44123,0.3200505509708292,0.2912172316747638,-0.0288333192960654,2,house_16H,0.30089200935576343,-0.028833319296065363,-0.009674777680999613
44159,0.466337086663174,0.3288441491091145,-0.1374929375540595,2,covertype,0.4036124594516336,-0.1374929375540595,-0.07476831034251907
45019,0.4983288640508619,0.4665851956877456,-0.0317436683631162,1,Bioresponse,0.4552975260150914,-0.03174366836311632,0.01128766967265421
45036,0.5567058244402676,0.5457944553018187,-0.0109113691384489,1,default-of-credit-card-clients,0.5547243967171114,-0.010911369138448923,-0.008929941415292686
46906,0.0686958024475714,0.0220934562832005,-0.0466023461643709,2,anneal,0.06089493229918314,-0.046602346164370895,-0.03880147601598265
46908,0.0345636642929717,0.0239055114861849,-0.0106581528067867,2,APSFailure,0.027212730738839064,-0.010658152806786805,-0.003307219252654165
