dataset_id,strong_classical,tabpfn,actual_gap,n_seeds,name,name_pred,n_full,n_eval_train,d_eval,n_classes,in_operating_range,predicted_regret,predicted_out_of_prior,predicted_loss_vs_strong_classical,confidence
44123,0.32005055097082924,0.2912172316747638,-0.02883331929606542,2,house_16H,house_16H,13488,4000,16,2,False,-0.2501486317378324,False,False,1.0
44159,0.466337086663174,0.3288441491091145,-0.1374929375540595,2,covertype,covertype,423680,4000,49,2,False,-0.06724194186280355,False,False,0.4106028440751109
45019,0.4983288640508619,0.46658519568774565,-0.03174366836311626,1,Bioresponse,Bioresponse,3434,2403,419,2,True,-0.46357759536176324,False,False,1.0
45036,0.5567058244402676,0.5457944553018187,-0.010911369138448923,1,default-of-credit-card-clients,default-of-credit-card-clients,13272,4000,21,2,False,-0.1139297186870035,False,False,0.5853323330955715
46906,0.06869580244757145,0.02209345628320055,-0.0466023461643709,2,anneal,anneal,898,628,31,5,True,-0.022149393495060843,False,False,0.24184351409900195
46908,0.03456366429297171,0.023905511486184965,-0.010658152806786746,2,APSFailure,APSFailure,76000,4000,169,2,False,-0.05956007461843266,False,False,0.3818533762350358
46910,0.3112695738650423,0.31064551464145707,-0.000624059223585216,2,bank-marketing,bank-marketing,45211,4000,13,2,False,-0.1260905850205182,False,False,0.6308445014839312
46912,0.5411017839820165,0.5622282897188581,0.021126505736841605,1,Bioresponse,Bioresponse,3751,2625,500,2,False,-0.26077642128288825,False,False,1.0
46915,0.16890833608398875,0.13885949276754808,-0.03004884331644067,2,churn,churn,5000,3500,19,2,True,-0.2893167777003287,False,False,1.0
46920,0.17329547463719938,0.13719335512850223,-0.036102119508697156,2,customer_satisfaction_in_airline,customer_satisfaction_in_airline,129880,4000,21,2,False,-0.1296949616633815,False,False,0.6443339184552346
46921,0.5533617475884702,0.4619859427723596,-0.09137580481611063,2,diabetes,diabetes,768,537,8,2,True,-0.16157032337630842,False,False,0.7636277902841277
46927,0.48054409355430994,0.44282394127255975,-0.037720152281750186,2,Fitness_Club,Fitness_Club,1500,1050,6,2,True,-0.1463566560168816,False,False,0.7066904823919682
46929,0.19366102486994924,0.18317127133238695,-0.01048975353756229,2,GiveMeSomeCredit,GiveMeSomeCredit,150000,4000,10,2,False,-0.19599172313388238,False,False,0.8924502359031792
46932,0.5660140876549435,0.5638760692878005,-0.002138018367143002,1,heloc,heloc,10459,4000,23,2,False,-0.0951079696787413,False,False,0.5148917422088289
46933,0.1998252908163075,0.18237508759511048,-0.01745020322119703,2,hiva_agnostic,hiva_agnostic,3845,2691,500,3,False,-0.1055437734445846,False,False,0.55394784604495
46941,0.5253586589104238,0.421710039067898,-0.10364861984252577,2,maternal_health_risk,maternal_health_risk,1014,709,6,3,True,-0.004650599728606292,False,False,0.17635409692670717
46947,0.24288963400225916,0.2364716376897615,-0.006417996312497648,2,online_shoppers_intention,online_shoppers_intention,12330,4000,17,2,False,-0.09008246885995622,False,False,0.49608375326892556
46950,0.11467800888965035,0.08536314554295901,-0.02931486334669134,2,polish_companies_bankruptcy,polish_companies_bankruptcy,5910,4000,64,2,True,-0.2090749928752266,False,False,0.9414145086127119
46952,0.3524654153774566,0.2819490444125012,-0.07051637096495544,1,qsar-biodeg,qsar-biodeg,1054,737,41,2,True,-0.23257629719049724,False,False,1.0
46955,0.09207920357519023,0.08893417280942395,-0.003145030765766277,2,SDSS17,SDSS17,78053,4000,11,3,False,-0.19264633319610394,False,False,0.879930079361923
46958,0.15354656534496558,0.10864414572207148,-0.044902419622894096,2,splice,splice,3190,2233,60,3,True,-0.11538502900198913,False,False,0.590778847044204
46962,0.08265197383915315,0.08490680622190946,0.002254832382756311,2,taiwanese_bankruptcy_prediction,taiwanese_bankruptcy_prediction,6819,4000,94,2,True,-0.17738422784566635,False,False,0.822811491785996
46963,0.26786356529603883,0.23790916631234305,-0.029954398983695785,2,website_phishing,website_phishing,1353,947,9,3,True,-0.08230727099149399,False,False,0.4669849946001429
46964,0.979301145471775,0.7970922266587868,-0.18220891881298829,2,wine_quality,wine_quality,6497,4000,12,7,True,0.3262977464000878,True,True,1.0
46979,0.4407620584198152,0.44348015362635274,0.0027180952065375408,2,jm1,jm1,10885,4000,21,2,False,-0.2382712825875374,False,False,1.0
46980,0.5559815176952119,0.5214873717951904,-0.03449414590002142,2,MIC,MIC,1699,1189,111,8,True,-0.11425663374839193,False,False,0.5865558161036527
