dataset_id,original,perturbed,delta
3,0.02492483800935345,0.02774377662763852,0.002818938618285069
11,0.1386735313614359,0.27498566497697446,0.13631213361553857
15,0.06789626278096328,0.07771743048494271,0.009821167703979436
23,0.894829568418679,0.8974166566100019,0.002587088191322917
28,0.0707767526274699,0.250652095975662,0.1798753433481921
46,0.10452927800554455,0.10634082615322582,0.0018115481476812662
50,0.061907333802148,0.07209033880129828,0.010183004999150279
469,1.7778513457607608,1.784439117769683,0.006587772008922244
1468,0.224516689160887,0.20596528531262237,-0.01855140384826462
1501,0.18081036839121403,0.19854734688182263,0.017736978490608596
4534,0.11683872174114386,0.11254307033263472,-0.004295651408509141
40668,0.610603555264162,0.6034241765954257,-0.007179378668736303
40670,0.13371133782779382,0.13827584195042478,0.004564504122630958
40975,0.036972823013913074,0.04859156593519455,0.011618742921281476
40979,0.06474244962954165,0.09325303848621325,0.028510588856671598
41027,0.39172231289122283,0.5179992594226389,0.12627694653141608
46916,0.2305158516772724,0.2345775339245642,0.004061682247291809
46937,0.5759660253036643,0.5701838983357473,-0.005782126967916912
46958,0.08457577792537757,0.08520595760426976,0.0006301796788921871
46963,0.22846388825227695,0.2241502573081453,-0.004313630944131647
46969,0.14466367457088947,0.14494859612750247,0.00028492155661299923
