method,mae,spearman,auroc
(a) mean-gap baseline,0.03793806583828974,,0.5
(b) black-box meta-features (LOO on real),0.03884366219137994,0.05238895558223289,0.45535714285714285
(c) prior-grounded OOP score [FROZEN],0.1501843973550378,-0.12057623049219686,0.40773809523809523
ablation: drop rotation-alignment,0.17718347178185628,-0.18060024009603842,0.43154761904761907
ablation: drop kNN-irregularity,0.1477882678457579,-0.15831932773109242,0.4017857142857143
"ablation: trivial (n, d, n_classes only)",0.14721635239907088,-0.1411968125307421,0.369047619047619
